CustomerKey,Gender,TotalChildren,EnglishOccupation,NumberCarsOwned,CommuteDistance,Age,BikeBuyer
11041,F,0,Skilled Manual,2,1-2 Miles,37,1
11042,F,0,Skilled Manual,2,0-1 Miles,38,1
11043,M,0,Skilled Manual,2,5-10 Miles,39,0
11044,M,2,Clerical,2,1-2 Miles,66,1
11045,M,3,Skilled Manual,2,1-2 Miles,65,0
11046,F,3,Skilled Manual,2,5-10 Miles,65,1
11047,F,3,Skilled Manual,2,1-2 Miles,65,1
11048,M,3,Skilled Manual,2,5-10 Miles,64,1
11049,F,0,Clerical,2,5-10 Miles,35,0
11050,M,3,Skilled Manual,2,5-10 Miles,64,1
11051,M,3,Skilled Manual,2,1-2 Miles,64,0
11052,F,2,Clerical,2,5-10 Miles,64,1
11053,F,0,Skilled Manual,2,1-2 Miles,35,1
11054,F,2,Skilled Manual,2,5-10 Miles,63,1
11055,M,2,Skilled Manual,2,5-10 Miles,63,1
11056,F,3,Skilled Manual,2,5-10 Miles,62,1
11057,M,2,Management,2,1-2 Miles,61,1
11058,M,2,Skilled Manual,2,1-2 Miles,61,1
11059,F,2,Skilled Manual,2,5-10 Miles,61,0
11060,M,2,Skilled Manual,2,5-10 Miles,61,1
11061,M,2,Skilled Manual,2,5-10 Miles,61,1
11062,M,0,Skilled Manual,2,5-10 Miles,40,1
11063,F,0,Skilled Manual,2,5-10 Miles,40,1
11064,M,0,Skilled Manual,2,5-10 Miles,39,1
11065,F,0,Skilled Manual,2,1-2 Miles,41,0
11066,F,0,Professional,2,5-10 Miles,41,0
11067,M,0,Professional,2,5-10 Miles,38,0
11068,F,2,Skilled Manual,2,5-10 Miles,59,0
11069,F,2,Skilled Manual,2,1-2 Miles,59,1
11070,M,2,Skilled Manual,2,5-10 Miles,60,1
11071,F,2,Skilled Manual,2,5-10 Miles,60,0
11072,F,2,Skilled Manual,2,1-2 Miles,60,1
11073,F,2,Skilled Manual,2,5-10 Miles,59,0
11074,M,2,Skilled Manual,2,5-10 Miles,59,0
11075,F,2,Professional,2,5-10 Miles,57,1
11076,M,2,Professional,2,5-10 Miles,58,1
11077,F,2,Professional,2,1-2 Miles,57,1
11078,F,0,Professional,2,1-2 Miles,41,0
11079,M,0,Management,2,0-1 Miles,56,0
11080,M,0,Management,2,0-1 Miles,56,1
11081,F,2,Management,3,2-5 Miles,49,0
11082,F,0,Management,3,1-2 Miles,49,1
11083,F,0,Management,3,1-2 Miles,49,1
11084,M,2,Skilled Manual,2,1-2 Miles,58,1
11085,F,2,Professional,2,5-10 Miles,58,0
11086,M,2,Professional,0,0-1 Miles,57,0
11087,F,3,Professional,0,0-1 Miles,57,0
11088,M,2,Management,0,2-5 Miles,57,1
11089,F,2,Management,1,2-5 Miles,58,1
11090,M,2,Professional,1,2-5 Miles,57,1
11091,M,2,Professional,1,5-10 Miles,58,0
11092,F,2,Professional,0,1-2 Miles,48,1
11093,F,0,Management,0,0-1 Miles,48,1
11094,M,1,Skilled Manual,1,0-1 Miles,53,0
11095,M,1,Skilled Manual,1,5-10 Miles,53,1
11096,M,1,Professional,1,5-10 Miles,53,1
11097,M,1,Skilled Manual,1,5-10 Miles,53,1
11098,F,1,Skilled Manual,1,0-1 Miles,54,0
11099,M,1,Professional,1,0-1 Miles,54,1
11100,F,1,Skilled Manual,1,5-10 Miles,54,1
11101,F,0,Professional,1,0-1 Miles,50,1
11102,F,5,Professional,4,1-2 Miles,50,0
11103,F,0,Professional,1,5-10 Miles,50,1
11104,M,0,Professional,1,0-1 Miles,51,1
11105,F,0,Professional,1,5-10 Miles,50,1
11106,M,0,Professional,1,5-10 Miles,51,1
11107,F,1,Professional,1,5-10 Miles,56,1
11108,F,0,Professional,2,0-1 Miles,52,1
11109,M,0,Professional,2,0-1 Miles,51,1
11110,M,1,Skilled Manual,1,5-10 Miles,53,1
11111,F,1,Skilled Manual,1,0-1 Miles,53,1
11112,F,1,Skilled Manual,1,0-1 Miles,53,1
11113,M,5,Professional,2,5-10 Miles,53,0
11114,F,5,Skilled Manual,2,5-10 Miles,53,0
11115,M,5,Skilled Manual,2,0-1 Miles,53,0
11116,M,5,Skilled Manual,2,5-10 Miles,52,0
11117,F,5,Skilled Manual,3,10+ Miles,54,1
11118,M,1,Skilled Manual,1,0-1 Miles,58,0
11119,M,2,Clerical,2,0-1 Miles,80,0
11120,F,2,Management,1,5-10 Miles,79,1
11121,M,5,Skilled Manual,3,10+ Miles,54,0
11122,M,5,Skilled Manual,3,5-10 Miles,55,0
11123,M,5,Skilled Manual,3,10+ Miles,55,0
11124,M,1,Skilled Manual,1,5-10 Miles,58,1
11125,F,1,Skilled Manual,1,5-10 Miles,59,0
11126,M,2,Skilled Manual,2,0-1 Miles,66,1
11127,F,0,Skilled Manual,1,5-10 Miles,39,0
11128,F,0,Skilled Manual,1,5-10 Miles,39,0
11129,F,0,Skilled Manual,1,5-10 Miles,40,1
11130,F,0,Skilled Manual,2,5-10 Miles,35,0
11131,F,0,Skilled Manual,2,0-1 Miles,35,0
11132,F,0,Skilled Manual,2,5-10 Miles,34,1
11133,F,0,Clerical,2,0-1 Miles,35,0
11134,M,5,Skilled Manual,2,5-10 Miles,69,1
11135,M,0,Clerical,2,5-10 Miles,35,1
11136,F,0,Skilled Manual,2,0-1 Miles,36,1
11137,F,0,Skilled Manual,2,5-10 Miles,37,0
11138,F,0,Skilled Manual,2,0-1 Miles,36,0
11139,F,2,Clerical,2,5-10 Miles,76,0
11140,M,0,Clerical,2,5-10 Miles,38,0
11141,F,0,Skilled Manual,2,0-1 Miles,38,0
11142,M,0,Skilled Manual,2,0-1 Miles,38,0
11143,M,0,Skilled Manual,2,5-10 Miles,38,0
11144,M,0,Skilled Manual,2,0-1 Miles,36,1
11145,F,0,Skilled Manual,2,0-1 Miles,35,1
11146,F,2,Management,2,5-10 Miles,76,0
11147,M,2,Management,1,0-1 Miles,76,1
11148,M,2,Management,2,5-10 Miles,74,0
11149,M,2,Management,2,0-1 Miles,74,0
11150,M,2,Management,2,5-10 Miles,74,0
11151,F,2,Management,1,0-1 Miles,73,1
11152,M,0,Skilled Manual,2,5-10 Miles,39,1
11153,F,0,Skilled Manual,2,5-10 Miles,39,0
11154,F,0,Skilled Manual,1,5-10 Miles,39,1
11155,M,0,Skilled Manual,1,1-2 Miles,39,1
11156,F,0,Skilled Manual,1,1-2 Miles,39,1
11157,F,0,Skilled Manual,2,5-10 Miles,40,0
11158,M,0,Skilled Manual,2,5-10 Miles,39,1
11159,F,0,Skilled Manual,2,1-2 Miles,39,0
11160,M,0,Skilled Manual,1,5-10 Miles,41,1
11161,F,0,Skilled Manual,1,1-2 Miles,41,0
11162,M,0,Skilled Manual,1,5-10 Miles,41,1
11163,M,0,Skilled Manual,1,5-10 Miles,40,0
11164,M,0,Skilled Manual,1,1-2 Miles,41,0
11165,F,0,Skilled Manual,1,1-2 Miles,42,0
11166,F,0,Skilled Manual,2,0-1 Miles,43,0
11167,F,0,Management,1,0-1 Miles,43,1
11168,M,0,Management,1,0-1 Miles,47,1
11169,M,4,Management,1,0-1 Miles,47,0
11170,F,4,Management,1,0-1 Miles,47,0
11171,M,1,Management,2,1-2 Miles,47,1
11172,F,1,Management,2,1-2 Miles,47,0
11173,F,0,Management,4,0-1 Miles,48,0
11174,M,0,Management,0,2-5 Miles,48,0
11175,M,0,Skilled Manual,2,5-10 Miles,52,1
11176,M,4,Management,1,1-2 Miles,47,0
11177,M,2,Management,2,5-10 Miles,73,0
11178,M,2,Management,3,1-2 Miles,72,0
11179,F,2,Management,3,5-10 Miles,72,0
11180,F,1,Management,4,0-1 Miles,72,0
11181,M,2,Management,2,0-1 Miles,72,0
11182,F,4,Management,2,10+ Miles,71,0
11183,F,4,Management,2,10+ Miles,71,0
11184,F,4,Management,2,10+ Miles,70,0
11185,F,4,Management,2,10+ Miles,70,0
11186,F,4,Management,2,10+ Miles,71,0
11187,F,4,Management,2,10+ Miles,71,0
11188,F,4,Management,2,1-2 Miles,71,0
11189,M,4,Management,2,10+ Miles,71,1
11190,M,5,Management,2,10+ Miles,71,0
11191,F,5,Management,3,10+ Miles,69,1
11192,M,4,Management,2,2-5 Miles,69,0
11193,M,4,Management,2,2-5 Miles,70,0
11194,F,4,Management,2,2-5 Miles,70,0
11195,F,5,Management,3,10+ Miles,69,0
11196,M,5,Management,3,10+ Miles,69,0
11197,F,3,Management,1,1-2 Miles,69,0
11198,F,4,Management,1,10+ Miles,68,0
11199,F,4,Management,1,10+ Miles,68,0
11200,M,4,Management,1,1-2 Miles,67,0
11201,F,4,Management,1,10+ Miles,68,0
11202,F,5,Management,2,1-2 Miles,68,0
11203,M,2,Professional,2,10+ Miles,67,0
11204,F,2,Professional,2,2-5 Miles,67,0
11205,F,2,Professional,2,10+ Miles,67,0
11206,M,2,Professional,1,10+ Miles,66,0
11207,F,2,Professional,1,10+ Miles,67,0
11208,F,2,Management,0,10+ Miles,67,0
11209,F,2,Management,0,10+ Miles,67,0
11210,M,4,Professional,2,10+ Miles,67,0
11211,F,2,Professional,2,2-5 Miles,65,0
11212,F,2,Professional,2,2-5 Miles,65,0
11213,F,2,Professional,2,10+ Miles,66,0
11214,M,2,Professional,2,10+ Miles,65,0
11215,F,2,Skilled Manual,2,10+ Miles,65,0
11216,F,2,Professional,2,10+ Miles,65,1
11217,F,2,Professional,2,10+ Miles,65,1
11218,F,2,Professional,2,2-5 Miles,65,0
11219,M,2,Professional,2,10+ Miles,64,0
11220,F,2,Professional,1,10+ Miles,65,0
11221,M,4,Professional,1,1-2 Miles,65,0
11222,F,3,Management,1,1-2 Miles,65,0
11223,F,2,Professional,2,2-5 Miles,63,0
11224,F,2,Professional,2,10+ Miles,64,1
11225,F,2,Professional,1,10+ Miles,64,0
11226,F,2,Professional,1,2-5 Miles,63,0
11227,M,2,Professional,2,10+ Miles,64,1
11228,F,2,Professional,2,10+ Miles,64,0
11229,M,4,Professional,1,10+ Miles,63,0
11230,F,4,Professional,2,2-5 Miles,64,0
11231,M,2,Professional,2,10+ Miles,62,0
11232,F,3,Professional,2,2-5 Miles,62,0
11233,M,4,Professional,2,10+ Miles,63,0
11234,F,4,Professional,2,10+ Miles,62,0
11235,M,4,Professional,2,10+ Miles,63,0
11236,M,5,Professional,2,10+ Miles,63,0
11237,M,2,Management,4,0-1 Miles,56,1
11238,F,2,Management,4,0-1 Miles,57,1
11239,F,2,Professional,2,5-10 Miles,56,1
11240,F,2,Professional,4,5-10 Miles,56,1
11241,F,2,Professional,4,5-10 Miles,57,1
11242,M,2,Professional,3,5-10 Miles,57,1
11243,F,2,Professional,3,0-1 Miles,57,1
11244,F,2,Management,3,0-1 Miles,57,1
11245,M,3,Professional,4,5-10 Miles,58,1
11246,F,3,Professional,4,5-10 Miles,58,1
11247,F,3,Professional,3,0-1 Miles,59,1
11248,M,3,Professional,4,10+ Miles,60,0
11249,F,3,Professional,3,0-1 Miles,60,1
11250,F,3,Professional,2,5-10 Miles,60,1
11251,M,4,Professional,2,5-10 Miles,83,1
11252,M,3,Management,1,2-5 Miles,83,1
11253,M,2,Management,2,1-2 Miles,82,0
11254,M,4,Management,2,5-10 Miles,82,0
11255,M,4,Management,2,5-10 Miles,82,0
11256,F,4,Management,2,5-10 Miles,81,0
11257,F,1,Management,4,2-5 Miles,82,1
11258,M,1,Management,4,2-5 Miles,82,0
11259,F,4,Professional,4,2-5 Miles,50,1
11260,F,2,Management,3,2-5 Miles,50,0
11261,F,1,Management,1,0-1 Miles,50,1
11262,F,4,Management,0,0-1 Miles,51,0
11263,F,5,Professional,3,2-5 Miles,51,1
11264,M,5,Professional,3,0-1 Miles,51,1
11265,F,5,Professional,3,0-1 Miles,51,1
11266,F,0,Professional,1,5-10 Miles,51,1
11267,M,4,Professional,4,2-5 Miles,50,1
11268,F,2,Management,2,1-2 Miles,51,0
11269,M,2,Management,2,0-1 Miles,50,0
11270,M,2,Management,3,0-1 Miles,51,1
11271,F,2,Management,4,1-2 Miles,51,1
11272,F,4,Professional,0,5-10 Miles,58,1
11273,M,2,Professional,0,10+ Miles,58,0
11274,M,2,Management,2,5-10 Miles,81,1
11275,F,4,Management,2,0-1 Miles,81,1
11276,F,4,Professional,2,2-5 Miles,51,0
11277,M,4,Professional,2,0-1 Miles,52,0
11278,M,0,Professional,1,10+ Miles,52,1
11279,F,0,Professional,1,10+ Miles,52,0
11280,M,0,Professional,1,10+ Miles,52,0
11281,F,4,Management,4,5-10 Miles,51,1
11282,M,5,Professional,4,1-2 Miles,53,1
11283,M,1,Management,2,1-2 Miles,52,0
11284,F,1,Management,2,1-2 Miles,53,0
11285,M,1,Professional,4,2-5 Miles,53,0
11286,M,0,Management,4,2-5 Miles,53,1
11287,M,5,Professional,3,5-10 Miles,54,0
11288,F,1,Management,3,2-5 Miles,53,0
11289,F,1,Management,1,0-1 Miles,54,1
11290,F,1,Management,3,2-5 Miles,54,1
11291,F,1,Management,3,2-5 Miles,54,1
11292,M,1,Professional,3,0-1 Miles,53,1
11293,M,2,Professional,2,1-2 Miles,60,0
11294,M,2,Professional,2,1-2 Miles,60,0
11295,F,2,Skilled Manual,2,5-10 Miles,61,1
11296,F,2,Management,2,5-10 Miles,79,1
11297,M,4,Management,2,5-10 Miles,80,1
11298,M,4,Management,2,1-2 Miles,80,1
11299,M,4,Management,2,1-2 Miles,79,1
11300,M,5,Professional,3,1-2 Miles,55,0
11301,M,5,Professional,4,5-10 Miles,55,0
11302,M,4,Professional,3,1-2 Miles,54,1
11303,F,4,Professional,3,1-2 Miles,54,1
11304,F,0,Professional,0,5-10 Miles,55,0
11305,M,3,Professional,4,2-5 Miles,55,0
11306,M,3,Professional,4,2-5 Miles,55,0
11307,M,2,Skilled Manual,2,5-10 Miles,60,1
11308,M,2,Professional,2,1-2 Miles,61,0
11309,F,2,Professional,2,5-10 Miles,61,0
11310,F,3,Management,2,5-10 Miles,62,0
11311,F,3,Management,2,1-2 Miles,62,0
11312,F,3,Management,2,5-10 Miles,62,0
11313,M,3,Management,2,5-10 Miles,62,0
11314,F,3,Management,2,1-2 Miles,61,0
11315,F,3,Management,2,1-2 Miles,61,0
11316,M,3,Management,2,5-10 Miles,61,1
11317,F,3,Professional,2,5-10 Miles,62,1
11318,F,3,Professional,2,1-2 Miles,62,0
11319,F,4,Management,2,1-2 Miles,78,1
11320,F,4,Management,2,5-10 Miles,78,0
11321,M,5,Management,2,5-10 Miles,77,0
11322,F,5,Management,2,5-10 Miles,77,0
11323,M,2,Management,3,5-10 Miles,77,1
11324,M,5,Management,2,1-2 Miles,76,1
11325,M,5,Management,2,5-10 Miles,76,1
11326,M,2,Management,4,0-1 Miles,76,1
11327,M,5,Management,2,5-10 Miles,75,1
11328,M,5,Management,2,5-10 Miles,75,1
11329,M,5,Management,2,5-10 Miles,75,1
11330,M,2,Management,1,2-5 Miles,75,0
11331,F,4,Skilled Manual,2,1-2 Miles,47,0
11332,F,1,Manual,0,0-1 Miles,52,1
11333,F,1,Clerical,0,0-1 Miles,53,1
11334,F,1,Manual,0,0-1 Miles,54,1
11335,F,1,Manual,0,0-1 Miles,54,1
11336,M,1,Clerical,0,0-1 Miles,53,1
11337,M,1,Manual,0,0-1 Miles,53,1
11338,M,1,Clerical,0,0-1 Miles,54,1
11339,M,1,Clerical,0,0-1 Miles,54,1
11340,F,1,Clerical,0,0-1 Miles,79,1
11341,M,1,Clerical,0,0-1 Miles,79,1
11342,M,5,Clerical,0,0-1 Miles,53,0
11343,M,1,Manual,0,0-1 Miles,56,1
11344,F,1,Manual,0,0-1 Miles,58,1
11345,F,1,Manual,0,0-1 Miles,58,1
11346,F,2,Manual,1,0-1 Miles,60,1
11347,M,2,Manual,1,0-1 Miles,59,0
11348,M,2,Manual,1,0-1 Miles,59,0
11349,F,2,Manual,1,2-5 Miles,61,0
11350,F,1,Clerical,0,0-1 Miles,78,0
11351,F,1,Clerical,0,0-1 Miles,76,1
11352,M,2,Manual,1,0-1 Miles,75,0
11353,F,1,Clerical,0,0-1 Miles,74,1
11354,F,1,Manual,0,0-1 Miles,73,0
11355,M,1,Clerical,0,0-1 Miles,72,0
11356,M,0,Manual,1,2-5 Miles,35,1
11357,M,0,Manual,1,2-5 Miles,36,1
11358,F,0,Manual,1,0-1 Miles,36,1
11359,M,0,Manual,1,0-1 Miles,37,1
11360,M,0,Manual,1,2-5 Miles,37,1
11361,F,0,Manual,2,0-1 Miles,38,0
11362,M,0,Manual,2,0-1 Miles,37,0
11363,M,0,Manual,2,0-1 Miles,37,1
11364,F,1,Manual,0,2-5 Miles,35,1
11365,F,1,Manual,0,1-2 Miles,36,1
11366,F,0,Clerical,0,0-1 Miles,35,0
11367,M,0,Clerical,0,0-1 Miles,36,0
11368,M,1,Manual,0,1-2 Miles,36,1
11369,F,0,Clerical,0,0-1 Miles,37,0
11370,F,0,Clerical,0,0-1 Miles,37,0
11371,F,0,Clerical,0,0-1 Miles,37,0
11372,F,0,Clerical,0,0-1 Miles,37,1
11373,F,1,Clerical,0,0-1 Miles,71,0
11374,M,1,Clerical,0,0-1 Miles,72,0
11375,M,1,Clerical,0,0-1 Miles,72,0
11376,M,1,Clerical,0,0-1 Miles,72,0
11377,M,4,Clerical,0,0-1 Miles,54,0
11378,F,1,Manual,1,2-5 Miles,55,1
11379,M,1,Manual,1,2-5 Miles,55,1
11380,M,2,Manual,1,1-2 Miles,56,1
11381,F,2,Manual,1,2-5 Miles,56,1
11382,M,2,Manual,1,2-5 Miles,57,1
11383,F,3,Clerical,0,0-1 Miles,55,0
11384,F,3,Clerical,0,0-1 Miles,54,0
11385,M,3,Clerical,0,0-1 Miles,55,0
11386,F,3,Clerical,0,0-1 Miles,54,0
11387,F,3,Clerical,0,0-1 Miles,56,1
11388,M,3,Clerical,0,0-1 Miles,56,1
11389,M,1,Manual,1,2-5 Miles,45,0
11390,F,1,Manual,1,2-5 Miles,44,0
11391,F,2,Manual,0,0-1 Miles,44,0
11392,M,2,Manual,0,0-1 Miles,45,0
11393,M,2,Manual,0,0-1 Miles,46,0
11394,M,2,Manual,0,0-1 Miles,45,1
11395,F,0,Clerical,0,0-1 Miles,44,1
11396,M,2,Manual,1,0-1 Miles,45,0
11397,F,0,Manual,1,0-1 Miles,46,0
11398,M,0,Clerical,0,0-1 Miles,46,1
11399,F,1,Clerical,0,0-1 Miles,46,0
11400,M,0,Clerical,0,0-1 Miles,46,1
11401,F,0,Clerical,0,0-1 Miles,46,1
11402,F,0,Clerical,0,0-1 Miles,45,1
11403,F,0,Clerical,0,0-1 Miles,46,1
11404,F,3,Manual,2,0-1 Miles,63,0
11405,F,3,Manual,2,0-1 Miles,63,0
11406,F,2,Manual,1,2-5 Miles,63,1
11407,M,2,Manual,1,0-1 Miles,63,0
11408,M,2,Manual,2,0-1 Miles,62,0
11409,F,2,Manual,1,0-1 Miles,47,1
11410,M,1,Manual,0,2-5 Miles,47,1
11411,M,3,Professional,1,2-5 Miles,61,0
11412,F,4,Professional,1,10+ Miles,61,1
11413,F,4,Professional,1,2-5 Miles,61,1
11414,M,4,Professional,1,10+ Miles,61,1
11415,M,5,Professional,2,10+ Miles,71,0
11416,F,3,Skilled Manual,4,2-5 Miles,70,1
11417,F,5,Professional,2,10+ Miles,70,1
11418,M,5,Professional,2,10+ Miles,70,0
11419,M,3,Management,4,0-1 Miles,70,0
11420,M,2,Management,4,10+ Miles,69,1
11421,F,3,Management,4,5-10 Miles,69,1
11422,M,4,Management,3,5-10 Miles,69,1
11423,F,4,Professional,1,2-5 Miles,60,1
11424,F,4,Professional,2,10+ Miles,61,0
11425,F,4,Professional,2,10+ Miles,61,1
11426,M,3,Management,4,10+ Miles,61,0
11427,F,2,Professional,2,10+ Miles,61,1
11428,F,2,Management,2,10+ Miles,62,1
11429,M,4,Professional,2,10+ Miles,63,1
11430,F,4,Professional,2,10+ Miles,63,0
11431,M,4,Professional,2,10+ Miles,62,1
11432,F,4,Professional,2,10+ Miles,64,1
11433,M,5,Professional,2,2-5 Miles,64,1
11434,M,5,Professional,4,0-1 Miles,64,0
11435,F,3,Management,4,10+ Miles,65,0
11436,F,3,Management,4,10+ Miles,64,0
11437,M,4,Management,3,10+ Miles,65,0
11438,F,4,Management,4,0-1 Miles,65,0
11439,F,4,Management,3,5-10 Miles,67,1
11440,M,5,Skilled Manual,2,5-10 Miles,67,0
11441,F,5,Skilled Manual,2,5-10 Miles,68,0
11442,M,5,Skilled Manual,2,10+ Miles,67,0
11443,F,0,Professional,4,2-5 Miles,39,1
11444,F,0,Professional,3,10+ Miles,39,1
11445,F,0,Professional,3,10+ Miles,41,1
11446,F,0,Professional,3,10+ Miles,41,1
11447,F,0,Professional,4,10+ Miles,41,1
11448,M,0,Professional,3,10+ Miles,40,1
11449,M,0,Professional,3,10+ Miles,40,1
11450,M,4,Management,4,0-1 Miles,39,1
11451,M,0,Professional,4,10+ Miles,40,1
11452,F,0,Professional,3,10+ Miles,41,1
11453,M,0,Professional,3,10+ Miles,42,1
11454,F,0,Professional,3,10+ Miles,41,1
11455,M,0,Management,2,10+ Miles,41,1
11456,M,5,Professional,4,10+ Miles,41,1
11457,F,0,Professional,3,10+ Miles,42,1
11458,F,0,Management,2,10+ Miles,42,0
11459,F,0,Professional,3,10+ Miles,42,1
11460,M,0,Professional,3,10+ Miles,42,1
11461,M,0,Professional,3,10+ Miles,43,1
11462,F,0,Management,4,10+ Miles,43,1
11463,F,0,Management,4,10+ Miles,43,0
11464,M,0,Professional,4,10+ Miles,43,1
11465,M,0,Professional,4,10+ Miles,44,1
11466,M,0,Management,4,10+ Miles,44,0
11467,M,1,Management,4,0-1 Miles,45,0
11468,F,1,Skilled Manual,0,1-2 Miles,40,1
11469,M,0,Manual,2,1-2 Miles,42,0
11470,M,0,Manual,2,0-1 Miles,41,1
11471,F,0,Clerical,1,2-5 Miles,41,0
11472,M,3,Professional,2,5-10 Miles,52,1
11473,F,0,Manual,2,1-2 Miles,35,0
11474,M,0,Manual,2,1-2 Miles,35,0
11475,M,0,Manual,1,1-2 Miles,36,0
11476,F,1,Skilled Manual,0,1-2 Miles,40,0
11477,M,0,Manual,1,1-2 Miles,42,0
11478,M,0,Manual,1,2-5 Miles,42,0
11479,M,1,Skilled Manual,0,1-2 Miles,42,1
11480,F,1,Skilled Manual,0,1-2 Miles,42,1
11481,F,1,Skilled Manual,0,1-2 Miles,42,1
11482,F,0,Manual,1,1-2 Miles,43,1
11483,M,1,Skilled Manual,1,0-1 Miles,43,1
11484,M,2,Clerical,0,0-1 Miles,43,1
11485,M,2,Clerical,0,0-1 Miles,43,1
11486,F,0,Manual,2,1-2 Miles,44,0
11487,F,0,Manual,2,1-2 Miles,44,0
11488,M,0,Manual,2,1-2 Miles,43,1
11489,F,0,Manual,2,1-2 Miles,44,1
11490,M,0,Manual,2,0-1 Miles,44,0
11491,M,0,Manual,2,0-1 Miles,44,1
11492,M,0,Manual,1,2-5 Miles,43,1
11493,F,2,Clerical,0,1-2 Miles,44,1
11494,M,2,Clerical,0,1-2 Miles,45,1
11495,M,2,Clerical,1,1-2 Miles,44,0
11496,M,2,Clerical,2,0-1 Miles,44,1
11497,F,2,Clerical,2,1-2 Miles,44,0
11498,M,3,Clerical,2,1-2 Miles,41,0
11499,M,3,Clerical,2,1-2 Miles,40,0
11500,F,0,Skilled Manual,0,0-1 Miles,40,0
11501,F,3,Clerical,2,1-2 Miles,40,0
11502,M,4,Clerical,1,0-1 Miles,40,0
11503,M,1,Skilled Manual,0,1-2 Miles,84,0
11504,F,1,Skilled Manual,1,0-1 Miles,84,0
11505,F,0,Skilled Manual,0,1-2 Miles,49,0
11506,M,0,Skilled Manual,0,0-1 Miles,49,0
11507,F,0,Skilled Manual,0,1-2 Miles,48,0
11508,F,0,Skilled Manual,0,1-2 Miles,49,0
11509,F,1,Skilled Manual,1,5-10 Miles,62,0
11510,M,1,Skilled Manual,1,1-2 Miles,62,0
11511,M,1,Skilled Manual,1,2-5 Miles,62,0
11512,F,3,Manual,2,1-2 Miles,61,1
11513,F,3,Manual,2,1-2 Miles,60,1
11514,M,1,Clerical,1,2-5 Miles,61,0
11515,F,1,Clerical,1,2-5 Miles,61,1
11516,F,1,Clerical,1,2-5 Miles,60,1
11517,F,1,Clerical,1,0-1 Miles,61,0
11518,M,1,Clerical,1,0-1 Miles,60,0
11519,M,1,Clerical,1,1-2 Miles,60,0
11520,F,1,Clerical,1,0-1 Miles,60,0
11521,F,1,Clerical,1,0-1 Miles,59,0
11522,M,5,Skilled Manual,0,0-1 Miles,59,1
11523,M,1,Clerical,1,0-1 Miles,59,1
11524,F,1,Clerical,1,1-2 Miles,59,0
11525,F,1,Clerical,1,0-1 Miles,59,1
11526,F,1,Clerical,1,1-2 Miles,59,1
11527,F,1,Clerical,1,1-2 Miles,59,0
11528,F,1,Clerical,1,1-2 Miles,58,1
11529,M,1,Clerical,1,1-2 Miles,57,1
11530,M,1,Clerical,1,1-2 Miles,58,0
11531,F,1,Clerical,1,0-1 Miles,58,1
11532,F,1,Clerical,1,1-2 Miles,58,0
11533,F,1,Clerical,1,1-2 Miles,58,0
11534,M,4,Skilled Manual,0,1-2 Miles,56,1
11535,M,4,Skilled Manual,0,0-1 Miles,57,1
11536,M,4,Skilled Manual,0,1-2 Miles,57,1
11537,M,4,Skilled Manual,0,0-1 Miles,57,1
11538,F,4,Skilled Manual,0,0-1 Miles,56,1
11539,M,4,Skilled Manual,0,1-2 Miles,56,1
